Rank,Artist,Title,Streams,Date
200,Hozier,Take Me To Church,"330,936",2017-01-03
Rank,Artist,Title,Streams,Date
1,The Weeknd,Starboy,"3,563,076",2017-01-04
2,The Chainsmokers,Closer,"3,175,128",2017-01-04
3,Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"2,892,451",2017-01-04
4,ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""","2,710,150",2017-01-04
5,DJ Snake,Let Me Love You,"2,663,869",2017-01-04
6,Maroon 5,Don't Wanna Know,"2,565,521",2017-01-04
7,James Arthur,Say You Won't Let Go,"2,495,021",2017-01-04
8,Drake,Fake Love,"2,402,911",2017-01-04
9,The Weeknd,I Feel It Coming,"2,338,067",2017-01-04
10,Bruno Mars,24K Magic,"2,280,795",2017-01-04
11,Rae Sremmurd,Black Beatles,"2,178,247",2017-01-04
12,Drake,One Dance,"2,009,154",2017-01-04
13,Shakira,Chantaje (feat. Maluma),"1,990,513",2017-01-04
14,Starley,Call On Me - Ryan Riback Extended Remix,"1,961,999",2017-01-04
15,Martin Garrix,In the Name of Love,"1,937,665",2017-01-04
16,Major Lazer,Cold Water (feat. Justin Bieber & MØ),"1,919,477",2017-01-04
17,Migos,Bad and Boujee (feat. Lil Uzi Vert),"1,841,773",2017-01-04
18,Steve Aoki,Just Hold On,"1,807,536",2017-01-04
19,Ariana Grande,Side To Side,"1,767,049",2017-01-04
20,Hailee Steinfeld,Starving,"1,712,546",2017-01-04
21,Machine Gun Kelly,Bad Things (with Camila Cabello),"1,689,239",2017-01-04
22,Shawn Mendes,Mercy,"1,653,440",2017-01-04
23,The Chainsmokers,All We Know,"1,561,672",2017-01-04
24,Calvin Harris,My Way,"1,493,736",2017-01-04
25,Twenty One Pilots,Heathens,"1,478,295",2017-01-04
26,Shawn Mendes,Treat You Better,"1,467,423",2017-01-04
27,The Chainsmokers,Don't Let Me Down,"1,422,968",2017-01-04
28,Alessia Cara,Scars To Your Beautiful,"1,378,110",2017-01-04
29,The Vamps,All Night,"1,333,910",2017-01-04
30,John Legend,Love Me Now,"1,308,910",2017-01-04
31,Jonas Blue,By Your Side,"1,284,803",2017-01-04
32,Sage The Gemini,Now and Later,"1,277,848",2017-01-04
33,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,267,550",2017-01-04
34,Zara Larsson,I Would Like,"1,257,416",2017-01-04
35,Robin Schulz,Shed a Light,"1,236,765",2017-01-04
36,Nevada,The Mack,"1,224,150",2017-01-04
37,CNCO,Reggaetón Lento (Bailemos),"1,191,805",2017-01-04
38,Alok,Hear Me Now,"1,188,910",2017-01-04
