24,25,Shawn Mendes,Treat You Better,"1,404,053"
25,26,Twenty One Pilots,Heathens,"1,403,117"
26,27,The Chainsmokers,Don't Let Me Down,"1,373,805"
27,28,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","1,274,760"
28,29,Alessia Cara,Scars To Your Beautiful,"1,264,378"
29,30,The Vamps,All Night,"1,201,859"
30,31,John Legend,Love Me Now,"1,190,899"
31,32,Sage The Gemini,Now and Later,"1,172,766"
32,33,Sia,Cheap Thrills,"1,167,833"
33,34,Jonas Blue,By Your Side,"1,154,877"
34,35,Zara Larsson,I Would Like,"1,126,983"
35,36,Nevada,The Mack,"1,122,559"
36,37,Alan Walker,Alone,"1,122,212"
37,38,CNCO,Reggaetón Lento (Bailemos),"1,116,627"
38,39,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),"1,108,074"
39,40,Robin Schulz,Shed a Light,"1,098,430"
40,41,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,"1,062,554"
41,42,Alok,Hear Me Now,"1,060,502"
42,43,J Balvin,Safari,"1,000,058"
43,44,DRAM,Broccoli (feat. Lil Yachty),"993,906"
44,45,Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"960,816"
45,46,Calvin Harris,This Is What You Came For,"958,726"
46,47,Aminé,Caroline,"951,699"
47,48,Alessia Cara,"How Far I'll Go - From ""Moana""","908,300"
48,49,Ricky Martin,Vente Pa' Ca,"907,340"
49,50,Zion & Lennox,Otra vez (feat. J Balvin),"878,999"
50,51,NEIKED,Sexual,"872,522"
51,52,Jonas Blue,Perfect Strangers,"856,922"
52,53,The Weeknd,Party Monster,"835,349"
53,54,Rihanna,Work,"833,943"
54,55,Twenty One Pilots,Ride,"827,613"
55,56,Sia,The Greatest,"820,237"
56,57,Big Sean,Bounce Back,"819,777"
57,58,Martin Jensen,Solo Dance,"798,473"
58,59,Rag'n'Bone Man,Human,"798,070"
59,60,J. Cole,Deja Vu,"784,321"
60,61,Justin Bieber,Love Yourself,"761,537"
61,62,gnash,"i hate u, i love u (feat. olivia o'brien)","761,285"
62,63,Twenty One Pilots,Stressed Out,"756,633"
63,64,Noah Cyrus,Make Me (Cry),"753,419"
64,65,Drake,Too Good,"752,654"
65,66,Justin Bieber,Sorry,"750,214"
66,67,Alan Walker,Faded,"747,495"
67,68,Desiigner,Panda,"732,996"
68,69,Adele,Water Under the Bridge,"716,256"
69,70,Luke Christopher,Lot to Learn,"710,380"
70,71,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","688,244"
